deal_id,account,rep,stage,amount,actual_revenue,close_date,forecast_quarter,days_since_activity,engagement_score,has_economic_buyer,email_opens_14d,meetings_30d,stakeholders,notes,rep_forecast_amount,is_open
D-2133,Sun Pharma R&D,Vivek Rao,Qualification,265000,0,4/17/2026,2026-Q2,24,0.89,1,4,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,297000,1
D-2134,DocuSign India,Vivek Rao,Discovery,99000,0,6/20/2026,2026-Q2,7,0.51,0,4,2,5,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,111000,1
D-2135,Cloudflare Zero Trust SASE,Arjun Verma,Negotiation,48000,0,5/19/2026,2026-Q2,45,0.56,0,2,5,5,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,54000,1
D-2136,Cognizant Digital Core,Karan Mehta,Discovery,52000,0,4/14/2026,2026-Q2,14,0.46,0,6,1,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,58000,1
D-2137,Atlassian Jira Enterprise,Karan Mehta,Qualification,235000,0,6/19/2026,2026-Q2,29,0.9,0,10,2,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,263000,1
D-2138,Box Content Cloud,Sneha Joshi,Qualification,344000,0,4/23/2026,2026-Q2,5,0.25,0,1,5,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,385000,1
D-2139,Deloitte Advisory Tech,Rohan Jain,Discovery,361000,0,6/24/2026,2026-Q2,43,0.57,1,2,3,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,404000,1
D-2140,ServiceNow ITOM Suite,Rahul Sharma,Discovery,366000,0,5/8/2026,2026-Q2,25,0.41,1,2,3,4,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,410000,1
D-2141,Mahindra Auto Telematics,Rahul Sharma,Qualification,291000,0,5/21/2026,2026-Q2,35,0.84,1,8,0,5,Executive champion resigned last week. Need urgent re-threading to new VP Product.,326000,1
D-2142,Schneider Electric Grid,Arjun Verma,Proposal,204000,0,5/3/2026,2026-Q2,16,0.57,0,7,0,2,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,228000,1
D-2143,Siemens Industrial IoT,Neha Desai,Discovery,276000,0,4/10/2026,2026-Q2,28,0.86,0,11,1,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,309000,1
D-2144,Atlassian Jira Enterprise,Rahul Sharma,Qualification,355000,0,5/4/2026,2026-Q2,23,0.87,0,12,3,4,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",398000,1
D-2145,ICICI Securities Wealth,Vivek Rao,Prospecting,159000,0,4/7/2026,2026-Q2,18,0.37,0,1,3,2,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",178000,1
D-2146,Atlassian Jira Enterprise,Meera Nair,Negotiation,168000,0,4/14/2026,2026-Q2,6,0.48,1,0,4,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,188000,1
D-2147,Honeywell Aerospace Avionics,Karan Mehta,Discovery,245000,0,6/18/2026,2026-Q2,45,0.31,0,3,0,1,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",274000,1
D-2148,GitLab DevSecOps,Priya Patil,Proposal,357000,0,6/16/2026,2026-Q2,29,0.28,1,7,1,1,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",400000,1
D-2149,Accenture Cloud First,Ishita Rao,Proposal,268000,0,5/15/2026,2026-Q2,23,0.74,0,11,5,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,300000,1
D-2150,GitLab DevSecOps,Sneha Joshi,Proposal,240000,0,6/26/2026,2026-Q2,31,0.47,1,11,3,1,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,269000,1
D-2151,Zoom Video Enterprise,Amit Kulkarni,Proposal,283000,0,5/5/2026,2026-Q2,27,0.45,0,0,0,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,317000,1
D-2152,Okta Identity Cloud,Meera Nair,Negotiation,84000,0,4/4/2026,2026-Q2,28,0.64,1,11,5,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,94000,1
D-2153,GitLab DevSecOps,Ananya Shah,Discovery,93000,0,4/14/2026,2026-Q2,18,0.6,1,10,5,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,104000,1
D-2154,Workday Global HRIS,Rahul Sharma,Qualification,241000,0,5/12/2026,2026-Q2,41,0.9,1,6,5,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,270000,1
D-2155,Okta Identity Cloud,Rohan Jain,Qualification,40000,0,5/20/2026,2026-Q2,6,0.44,0,1,1,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,45000,1
D-2156,Cognizant Digital Core,Neha Desai,Proposal,159000,0,4/23/2026,2026-Q2,7,0.67,1,12,0,4,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,178000,1
D-2157,HubSpot RevOps Upgrade,Priya Patil,Discovery,372000,0,4/24/2026,2026-Q2,45,0.4,0,9,0,5,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,417000,1
D-2158,HubSpot RevOps Upgrade,Karan Mehta,Negotiation,359000,0,4/1/2026,2026-Q2,43,0.88,0,1,1,1,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,402000,1
D-2159,Bajaj Finserv Lending Core,Amit Kulkarni,Qualification,218000,0,5/28/2026,2026-Q2,36,0.32,0,0,3,3,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",244000,1
D-2160,Mahindra Auto Telematics,Arjun Verma,Discovery,256000,0,4/12/2026,2026-Q2,24,0.77,0,1,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,287000,1
D-2161,ICICI Securities Wealth,Neha Desai,Negotiation,154000,0,8/1/2026,2026-Q3,16,0.35,0,1,4,2,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,172000,1
D-2162,IBM RedHat Openshift,Rahul Sharma,Proposal,372000,0,8/13/2026,2026-Q3,37,0.89,0,2,1,1,Executive champion resigned last week. Need urgent re-threading to new VP Product.,417000,1
D-2163,Mahindra Auto Telematics,Amit Kulkarni,Proposal,79000,0,9/22/2026,2026-Q3,21,0.66,1,12,4,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,88000,1
D-2164,PwC Enterprise Assurance,Rahul Sharma,Proposal,38000,0,8/13/2026,2026-Q3,28,0.31,0,9,0,4,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,43000,1
D-2165,Cloudflare Zero Trust SASE,Karan Mehta,Discovery,187000,0,7/23/2026,2026-Q3,45,0.21,1,5,0,1,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,209000,1
D-2166,ICICI Securities Wealth,Sneha Joshi,Discovery,97000,0,8/7/2026,2026-Q3,39,0.86,0,10,5,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,109000,1
D-2167,ICICI Securities Wealth,Arjun Verma,Negotiation,167000,0,8/10/2026,2026-Q3,44,0.75,1,4,0,2,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,187000,1
D-2168,Cognizant Digital Core,Amit Kulkarni,Proposal,292000,0,8/11/2026,2026-Q3,18,0.9,0,4,1,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,327000,1
D-2169,Workday Global HRIS,Vivek Rao,Proposal,143000,0,7/24/2026,2026-Q3,39,0.81,1,12,0,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,160000,1
D-2170,Twilio SMS Trunking,Ishita Rao,Negotiation,224000,0,7/9/2026,2026-Q3,18,0.81,1,11,2,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,251000,1
D-2171,HubSpot RevOps Upgrade,Ananya Shah,Discovery,303000,0,7/16/2026,2026-Q3,30,0.79,0,3,1,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,339000,1
D-2172,Adani Green Energy,Sneha Joshi,Discovery,63000,0,9/6/2026,2026-Q3,3,0.37,0,10,5,4,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,71000,1
D-2173,MongoDB Atlas Migration,Rohan Jain,Discovery,306000,0,8/14/2026,2026-Q3,39,0.47,1,0,1,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,343000,1
D-2174,Siemens Industrial IoT,Ishita Rao,Discovery,56000,0,9/22/2026,2026-Q3,14,0.24,0,3,3,4,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,63000,1
D-2175,Atlassian Jira Enterprise,Arjun Verma,Proposal,318000,0,7/22/2026,2026-Q3,7,0.36,1,0,5,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,356000,1
D-2176,GitLab DevSecOps,Neha Desai,Proposal,302000,0,8/10/2026,2026-Q3,15,0.54,1,9,5,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,338000,1
D-2177,GitLab DevSecOps,Neha Desai,Proposal,50000,0,7/4/2026,2026-Q3,8,0.53,1,9,5,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,56000,1
D-2178,Cloudflare Zero Trust SASE,Ishita Rao,Discovery,108000,0,7/27/2026,2026-Q3,23,0.84,0,0,5,1,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,121000,1
D-2179,Box Content Cloud,Vivek Rao,Proposal,245000,0,7/21/2026,2026-Q3,18,0.35,0,3,3,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,274000,1
D-2180,Sun Pharma R&D,Ananya Shah,Discovery,213000,0,9/12/2026,2026-Q3,41,0.58,1,2,3,1,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,239000,1
D-2181,Cognizant Digital Core,Meera Nair,Discovery,279000,0,9/13/2026,2026-Q3,11,0.88,0,9,2,3,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",312000,1
D-2182,Zoom Video Enterprise,Amit Kulkarni,Prospecting,40000,0,9/11/2026,2026-Q3,16,0.88,1,0,1,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,45000,1
D-2183,Capgemini Engineering Labs,Rahul Sharma,Proposal,151000,0,7/9/2026,2026-Q3,13,0.67,0,2,3,1,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,169000,1
D-2184,Schneider Electric Grid,Rahul Sharma,Prospecting,201000,0,8/27/2026,2026-Q3,6,0.44,1,4,5,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,225000,1
D-2185,Cloudflare Zero Trust SASE,Meera Nair,Negotiation,259000,0,9/23/2026,2026-Q3,19,0.33,0,9,4,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,290000,1
D-2186,Bosch Smart Mobility,Ananya Shah,Discovery,375000,0,8/28/2026,2026-Q3,20,0.76,1,10,4,5,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",420000,1
D-2187,HubSpot RevOps Upgrade,Rohan Jain,Qualification,82000,0,7/21/2026,2026-Q3,6,0.6,1,9,0,1,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,92000,1
D-2188,Deloitte Advisory Tech,Rahul Sharma,Negotiation,221000,0,7/23/2026,2026-Q3,35,0.28,1,11,1,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,248000,1
D-2189,Sun Pharma R&D,Karan Mehta,Proposal,180000,0,9/24/2026,2026-Q3,2,0.56,1,11,3,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,202000,1
D-2190,Capgemini Engineering Labs,Ananya Shah,Discovery,209000,0,7/1/2026,2026-Q3,24,0.21,0,4,3,1,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,234000,1
D-2191,DocuSign India,Rohan Jain,Proposal,374000,0,7/8/2026,2026-Q3,32,0.28,0,1,0,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,419000,1
D-2192,Sun Pharma R&D,Ishita Rao,Prospecting,34000,0,9/28/2026,2026-Q3,15,0.71,1,1,1,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,38000,1
D-2193,Schneider Electric Grid,Arjun Verma,Prospecting,120000,0,9/28/2026,2026-Q3,25,0.23,0,1,1,5,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,134000,1
D-2194,KPMG Global Consulting,Amit Kulkarni,Proposal,323000,0,9/10/2026,2026-Q3,19,0.82,0,4,4,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,362000,1
D-2195,Box Content Cloud,Vivek Rao,Discovery,165000,0,8/2/2026,2026-Q3,19,0.22,1,3,5,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,185000,1
D-2196,IBM RedHat Openshift,Neha Desai,Discovery,126000,0,7/14/2026,2026-Q3,2,0.24,0,10,5,5,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",141000,1
D-2197,DocuSign India,Vivek Rao,Proposal,69000,0,8/22/2026,2026-Q3,39,0.83,0,7,5,3,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,77000,1
D-2198,Sun Pharma R&D,Ishita Rao,Qualification,308000,0,7/23/2026,2026-Q3,8,0.62,0,8,0,5,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,345000,1
D-2199,ServiceNow ITOM Suite,Neha Desai,Proposal,332000,0,9/3/2026,2026-Q3,17,0.3,1,11,0,3,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",372000,1
D-2200,ABB Robotics Automation,Vivek Rao,Proposal,195000,0,9/25/2026,2026-Q3,29,0.4,1,12,1,5,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,218000,1
